prompt,gt,pred,generated_text
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: The sailors rode the breeze clear of the rocks.
Linguistic acceptability: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: The weights made the rope stretch over the pulley.
Linguistic acceptability: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: The mechanical doll wriggled itself loose.
Linguistic acceptability: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: If you had eaten more, you would want less.
Linguistic acceptability: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: As you eat the most, you want the least.
Linguistic acceptability: ",0,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: The more you would want, the less you would eat.
Linguistic acceptability: ",0,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: I demand that the more John eat, the more he pays.
Linguistic acceptability: ",0,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: Mary listens to the Grateful Dead, she gets depressed.
Linguistic acceptability: ",1,0,<b>no</b>
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: The angrier Mary got, the more she looked at pictures.
Linguistic acceptability: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistic acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Linguistic acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistic acceptability: no

Sentence: Bill poorly recited his lines.
Linguistic acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistic acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Linguistic acceptability: no

Sentence: David constructed me a house.
Linguistic acceptability: no

Sentence: Mary talked to any man or any woman.
Linguistic acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistic acceptability: yes

Sentence: The car collided with the fence.
Linguistic acceptability: yes

Sentence: The Minister has arrived.
Linguistic acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Linguistic acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Linguistic acceptability: yes

Sentence: I ate the apple.
Linguistic acceptability: yes

Sentence: You should leave, shouldn't you?
Linguistic acceptability: yes

Sentence: They dismissed the proposal as too costly.
Linguistic acceptability: yes

Sentence: The higher the stakes, the lower his expectations are.
Linguistic acceptability: ",1,1,100
