prompt,gt,pred,generated_text
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: The sailors rode the breeze clear of the rocks.
Acceptability: ",1,1,100
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: The weights made the rope stretch over the pulley.
Acceptability: ",1,1,100
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: The mechanical doll wriggled itself loose.
Acceptability: ",1,1,100
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: If you had eaten more, you would want less.
Acceptability: ",1,1,100
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: As you eat the most, you want the least.
Acceptability: ",0,1,100
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: The more you would want, the less you would eat.
Acceptability: ",0,1,100
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: I demand that the more John eat, the more he pays.
Acceptability: ",0,1,100
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: Mary listens to the Grateful Dead, she gets depressed.
Acceptability: ",1,1,100
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: The angrier Mary got, the more she looked at pictures.
Acceptability: ",1,1,100
"Sentence: Goes John to school?
Acceptability: no

Sentence: They alleged many strangers to have been in that garden.
Acceptability: no

Sentence: I loved the policeman the baker intensely with all my heart.
Acceptability: no

Sentence: Bill poorly recited his lines.
Acceptability: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Acceptability: no

Sentence: Gilgamesh must should seek Ishtar
Acceptability: no

Sentence: David constructed me a house.
Acceptability: no

Sentence: Mary talked to any man or any woman.
Acceptability: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Acceptability: yes

Sentence: The car collided with the fence.
Acceptability: yes

Sentence: The Minister has arrived.
Acceptability: yes

Sentence: Paula swatted Deirdre on the back.
Acceptability: yes

Sentence: Which otter you should adopt first is unclear.
Acceptability: yes

Sentence: I ate the apple.
Acceptability: yes

Sentence: You should leave, shouldn't you?
Acceptability: yes

Sentence: They dismissed the proposal as too costly.
Acceptability: yes

Sentence: The higher the stakes, the lower his expectations are.
Acceptability: ",1,1,100
