prompt,gt,pred,generated_text
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: The sailors rode the breeze clear of the rocks.
Linguistically acceptable: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: The weights made the rope stretch over the pulley.
Linguistically acceptable: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: The mechanical doll wriggled itself loose.
Linguistically acceptable: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: If you had eaten more, you would want less.
Linguistically acceptable: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: As you eat the most, you want the least.
Linguistically acceptable: ",0,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: The more you would want, the less you would eat.
Linguistically acceptable: ",0,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: I demand that the more John eat, the more he pays.
Linguistically acceptable: ",0,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: Mary listens to the Grateful Dead, she gets depressed.
Linguistically acceptable: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: The angrier Mary got, the more she looked at pictures.
Linguistically acceptable: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Linguistically acceptable: no

Sentence: They alleged many strangers to have been in that garden.
Linguistically acceptable: no

Sentence: I loved the policeman the baker intensely with all my heart.
Linguistically acceptable: no

Sentence: Bill poorly recited his lines.
Linguistically acceptable: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Linguistically acceptable: no

Sentence: Gilgamesh must should seek Ishtar
Linguistically acceptable: no

Sentence: David constructed me a house.
Linguistically acceptable: no

Sentence: Mary talked to any man or any woman.
Linguistically acceptable: no

Sentence: The electrode was left by ions.
Linguistically acceptable: no

Sentence: Harriet alternated folk songs and pop songs together.
Linguistically acceptable: no

Sentence: Light was made of her indiscretions.
Linguistically acceptable: no

Sentence: Odysseus attempted the helmsman to hear the sirens.
Linguistically acceptable: no

Sentence: John talked to any powerful politician.
Linguistically acceptable: no

Sentence: The king banished the general from the palace to a mountain fortress.
Linguistically acceptable: no

Sentence: John thinks what Mary bought.
Linguistically acceptable: no

Sentence: Sally is tall, and may be, and Sheila is short, and definitely is, blond.
Linguistically acceptable: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Linguistically acceptable: yes

Sentence: The car collided with the fence.
Linguistically acceptable: yes

Sentence: The Minister has arrived.
Linguistically acceptable: yes

Sentence: Paula swatted Deirdre on the back.
Linguistically acceptable: yes

Sentence: Which otter you should adopt first is unclear.
Linguistically acceptable: yes

Sentence: I ate the apple.
Linguistically acceptable: yes

Sentence: You should leave, shouldn't you?
Linguistically acceptable: yes

Sentence: They dismissed the proposal as too costly.
Linguistically acceptable: yes

Sentence: Each room sleeps five people.
Linguistically acceptable: yes

Sentence: A boy hit the ball.
Linguistically acceptable: yes

Sentence: Joe likes his bar, and Sally's patrons do too.
Linguistically acceptable: yes

Sentence: We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
Linguistically acceptable: yes

Sentence: Did John wonder who would win the game?
Linguistically acceptable: yes

Sentence: Mary's happy with her work, and John's with his children.
Linguistically acceptable: yes

Sentence: I'm going out, whatever the weather.
Linguistically acceptable: yes

Sentence: I put the book on the desk on Sunday.
Linguistically acceptable: yes

Sentence: The higher the stakes, the lower his expectations are.
Linguistically acceptable: ",1,1,<b>yes</b>
